TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR00659	156	Hypothetical proteins	Conserved	TIGR00659	TIGR00659 family protein	hypoth_equivalog	
TIGR00661	156	Hypothetical proteins	Conserved	MJ1255	conserved hypothetical protein	subfamily_domain	
TIGR00663	132	DNA metabolism	"DNA replication, recombination, and repair"	dnan	"_DNA polymerase III, beta subunit_"	equivalog	2.7.7.7
TIGR00664	132	DNA metabolism	"DNA replication, recombination, and repair"	DNA_III_psi	"_DNA polymerase III, psi subunit_"	equivalog	2.7.7.7
TIGR00665	132	DNA metabolism	"DNA replication, recombination, and repair"	DnaB	replicative DNA helicase	equivalog	3.6.4.12
TIGR00666	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	PBP4	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	equivalog	3.4.16.4
TIGR00667	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	aat	leucyl/phenylalanyl-tRNA--protein transferase	equivalog	2.3.2.6
TIGR00668	149	Cellular processes	Adaptations to atypical conditions	apaH	bis(5`-nucleosyl)-tetraphosphatase (symmetrical)	equivalog	3.6.1.41
TIGR00669	71	Amino acid biosynthesis	Aspartate family	asnA	aspartate--ammonia ligase	equivalog	6.3.1.1
TIGR00670	126	"Purines, pyrimidines, nucleosides, and nucleotides"	Pyrimidine ribonucleotide biosynthesis	asp_carb_tr	aspartate carbamoyltransferase	equivalog	2.1.3.2
TIGR00671	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	baf	"_pantothenate kinase, type III_"	subfamily	2.7.1.33
TIGR00672	176	Fatty acid and phospholipid metabolism	Biosynthesis	cdh	CDP-diacylglycerol diphosphatase	equivalog	3.6.1.26
TIGR00673	96	Cellular processes	Detoxification	cynS	cyanase	equivalog	4.2.1.104
TIGR00674	71	Amino acid biosynthesis	Aspartate family	dapA	4-hydroxy-tetrahydrodipicolinate synthase	equivalog	4.3.3.7
TIGR00675	132	DNA metabolism	"DNA replication, recombination, and repair"	dcm	DNA (cytosine-5-)-methyltransferase	superfamily	2.1.1.37
TIGR00676	71	Amino acid biosynthesis	Aspartate family	fadh2	methylenetetrahydrofolate reductase [NAD(P)H]	equivalog	1.5.1.20
TIGR00677	78	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	fadh2_euk	methylenetetrahydrofolate reductase	equivalog	1.5.1.20
TIGR00678	132	DNA metabolism	"DNA replication, recombination, and repair"	holB	"_DNA polymerase III, delta`` `subunit_"	equivalog_domain	2.7.7.7
TIGR00679	700	Signal transduction	PTS	hpr-ser	HPr(Ser) kinase/phosphatase	equivalog	2.7.1.-
TIGR00680	145	Transport and binding proteins	Cations and iron carrying compounds	kdpA	"_K+-transporting ATPase, A subunit_"	equivalog	3.6.3.12
TIGR00681	145	Transport and binding proteins	Cations and iron carrying compounds	kdpC	"_K+-transporting ATPase, C subunit_"	equivalog	3.6.3.12
TIGR00682	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lpxK	tetraacyldisaccharide 4`-kinase	equivalog	2.7.1.130
TIGR00683	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	nanA	N-acetylneuraminate lyase	equivalog	4.1.3.3
TIGR00684	95	Protein fate	Protein folding and stabilization	narJ	nitrate reductase molybdenum cofactor assembly chaperone	equivalog	
TIGR00685	149	Cellular processes	Adaptations to atypical conditions	T6PP	trehalose-phosphatase	equivalog	3.1.3.12
TIGR00686	157	Unknown function	General	phnA	putative alkylphosphonate utilization operon protein PhnA	hypoth_equivalog	
TIGR00687	84	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pyridoxine	pyridox_kin	pyridoxal kinase	equivalog	2.7.1.35
TIGR00688	141	Transport and binding proteins	Unknown substrate	rarD	protein RarD	hypoth_equivalog	
TIGR00690	135	Transcription	DNA-dependent RNA polymerase	rpoZ	"_DNA-directed RNA polymerase, omega subunit_"	equivalog	2.7.7.6
TIGR00691	149	Cellular processes	Adaptations to atypical conditions	spoT_relA	RelA/SpoT family protein	subfamily	
TIGR00692	109	Energy metabolism	Amino acids and amines	tdh	L-threonine 3-dehydrogenase	equivalog	1.1.1.103
TIGR00693	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	thiE	thiamine-phosphate diphosphorylase	equivalog_domain	2.5.1.3
TIGR00694	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	thiM	hydroxyethylthiazole kinase	equivalog_domain	2.7.1.50
TIGR00695	119	Energy metabolism	Sugars	uxuA	mannonate dehydratase	equivalog	4.2.1.8
TIGR00696	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	wecG_tagA_cpsF	"_glycosyltransferase, WecB/TagA/CpsF family_"	superfamily	2.4.1.-
TIGR00697	156	Hypothetical proteins	Conserved	TIGR00697	conserved hypothetical integral membrane protein	subfamily	
TIGR00698	156	Hypothetical proteins	Conserved	TIGR00698	conserved hypothetical protein	subfamily	
TIGR00699	102	Central intermediary metabolism	Other	GABAtrns_euk	4-aminobutyrate aminotransferase	equivalog	2.6.1.19
TIGR00700	102	Central intermediary metabolism	Other	GABAtrnsam	4-aminobutyrate transaminase	equivalog	2.6.1.19
TIGR00701	156	Hypothetical proteins	Conserved	TIGR00701	TIGR00701 family protein	hypoth_equivalog	
TIGR00702	156	Hypothetical proteins	Conserved	TIGR00702	YcaO-type kinase domain	domain	
TIGR00703	156	Hypothetical proteins	Conserved	TIGR00703	TIGR00703 family protein	hypoth_equivalog	
TIGR00704	145	Transport and binding proteins	Cations and iron carrying compounds	NaPi_cotrn_rel	Na/Pi-cotransporter II-related protein	hypoth_equivalog	
TIGR00705	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	SppA_67K	"_signal peptide peptidase SppA, 67K type_"	equivalog	3.4.-.-
TIGR00706	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	SppA_dom	"_signal peptide peptidase SppA, 36K type_"	equivalog_domain	3.4.-.-
TIGR00708	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobA	"_cob(I)yrinic acid a,c-diamide adenosyltransferase_"	equivalog	2.5.1.17
TIGR00709	102	Central intermediary metabolism	Other	dat	"_2,4-diaminobutyrate 4-transaminase_"	subfamily	2.6.1.-
TIGR00711	94	Cellular processes	Toxin production and resistance	efflux_EmrB	"_drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family_"	subfamily	
TIGR00712	147	Transport and binding proteins	Other	glpT	glycerol-3-phosphate transporter	equivalog	
TIGR00713	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	hemL	"_glutamate-1-semialdehyde-2,1-aminomutase_"	equivalog	5.4.3.8
TIGR00714	95	Protein fate	Protein folding and stabilization	hscB	Fe-S protein assembly co-chaperone HscB	equivalog	
TIGR00715	79	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	precor6x_red	precorrin-6x reductase	equivalog	1.3.1.54
TIGR00716	132	DNA metabolism	"DNA replication, recombination, and repair"	rnhC	ribonuclease HIII	equivalog	3.1.26.4
TIGR00717	158	Protein synthesis	Ribosomal proteins: synthesis and modification	rpsA	ribosomal protein bS1	equivalog	
TIGR00718	109	Energy metabolism	Amino acids and amines	sda_alpha	"_L-serine dehydratase, iron-sulfur-dependent, alpha subunit_"	equivalog	4.3.1.17
TIGR00719	109	Energy metabolism	Amino acids and amines	sda_beta	"_L-serine dehydratase, iron-sulfur-dependent, beta subunit_"	equivalog	4.3.1.17
TIGR00720	109	Energy metabolism	Amino acids and amines	sda_mono	L-serine ammonia-lyase	equivalog	4.3.1.17
TIGR00721	261	Regulatory functions	DNA interactions	tfx	"_DNA-binding protein, Tfx family_"	subfamily	
TIGR00724	157	Unknown function	General	urea_amlyse_rel	biotin-dependent carboxylase uncharacterized domain	domain	
TIGR00725	156	Hypothetical proteins	Conserved	TIGR00725	TIGR00725 family protein	hypoth_equivalog	
TIGR00726	157	Unknown function	General	TIGR00726	YfiH family protein	hypoth_equivalog	
TIGR00727	142	Transport and binding proteins	"Amino acids, peptides and amines"	ISP4_OPT	"_small oligopeptide transporter, OPT family_"	equivalog	
TIGR00729	132	DNA metabolism	"DNA replication, recombination, and repair"	TIGR00729	ribonuclease HII	equivalog	3.1.26.4
TIGR00730	156	Hypothetical proteins	Conserved	TIGR00730	TIGR00730 family protein	hypoth_equivalog	
TIGR00731	158	Protein synthesis	Ribosomal proteins: synthesis and modification	bL25_bact_ctc	"_ribosomal protein bL25, Ctc-form_"	equivalog	
TIGR00732	98	Cellular processes	DNA transformation	dprA	DNA protecting protein DprA	equivalog	
TIGR00733	142	Transport and binding proteins	"Amino acids, peptides and amines"	TIGR00733	"_oligopeptide transporter, OPT family_"	equivalog	
TIGR00734	157	Unknown function	General	hisAF_rel	hisA/hisF family protein	hypoth_equivalog	
TIGR00735	161	Amino acid biosynthesis	Histidine family	hisF	"_imidazoleglycerol phosphate synthase, cyclase subunit_"	equivalog_domain	
TIGR00736	157	Unknown function	General	nifR3_rel_arch	putative TIM-barrel protein	hypoth_equivalog	
TIGR00737	157	Unknown function	General	nifR3_yhdG	"_putative TIM-barrel protein, nifR3 family_"	subfamily	
TIGR00738	157	Unknown function	General	rrf2_super	Rrf2 family protein	superfamily	
TIGR00739	97	Protein fate	Protein and peptide secretion and trafficking	yajC	"_preprotein translocase, YajC subunit_"	equivalog	
TIGR00740	703	Unknown function	Enzymes of unknown specificity	TIGR00740	tRNA (cmo5U34)-methyltransferase	equivalog	2.1.1.-
TIGR00741	169	Protein synthesis	Translation factors	yfiA	ribosomal subunit interface protein	equivalog_domain	
TIGR00742	168	Protein synthesis	tRNA and rRNA base modification	yjbN	tRNA dihydrouridine synthase A	subfamily	1.-.-.-
TIGR00743	156	Hypothetical proteins	Conserved	TIGR00743	conserved hypothetical protein	superfamily	
TIGR00744	157	Unknown function	General	ROK_glcA_fam	ROK family protein (putative glucokinase)	subfamily	
TIGR00745	83	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Pantothenate and coenzyme A	apbA_panE	2-dehydropantoate 2-reductase	subfamily	1.1.1.-
TIGR00746	109	Energy metabolism	Amino acids and amines	arcC	carbamate kinase	equivalog	2.7.2.2
TIGR00747	176	Fatty acid and phospholipid metabolism	Biosynthesis	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	subfamily	2.3.1.180
TIGR00748	176	Fatty acid and phospholipid metabolism	Biosynthesis	HMG_CoA_syn_Arc	putative hydroxymethylglutaryl-CoA synthase	equivalog	2.3.3.10
TIGR00749	116	Energy metabolism	Glycolysis/gluconeogenesis	glk	glucokinase	equivalog	2.7.1.2
TIGR00750	142	Transport and binding proteins	"Amino acids, peptides and amines"	lao	LAO/AO transport system ATPase	equivalog	2.7.-.-
TIGR00751	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	menA	"_1,4-dihydroxy-2-naphthoate octaprenyltransferase_"	equivalog	2.5.1.74
TIGR00752	88	Cell envelope	Other	slp	"_outer membrane lipoprotein, Slp family_"	superfamily	
TIGR00753	89	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	undec_PP_bacA	undecaprenyl-diphosphatase UppP	equivalog	3.6.1.27
TIGR00754	145	Transport and binding proteins	Cations and iron carrying compounds	bfr	bacterioferritin	equivalog	
TIGR00755	168	Protein synthesis	tRNA and rRNA base modification	ksgA	ribosomal RNA small subunit methyltransferase A	equivalog	2.1.1.182
TIGR00757	134	Transcription	Degradation of RNA	RNaseEG	"_ribonuclease, Rne/Rng family_"	subfamily_domain	3.1.4.-
TIGR00758	132	DNA metabolism	"DNA replication, recombination, and repair"	UDG_fam4	"_uracil-DNA glycosylase, family 4_"	subfamily	3.2.2.-
TIGR00760	119	Energy metabolism	Sugars	araD	L-ribulose-5-phosphate 4-epimerase	equivalog	5.1.3.4
TIGR00761	73	Amino acid biosynthesis	Glutamate family	argB	acetylglutamate kinase	equivalog_domain	2.7.2.8
TIGR00762	157	Unknown function	General	DegV	"_EDD domain protein, DegV family_"	domain	
TIGR00763	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	lon	endopeptidase La	equivalog	3.4.21.53
TIGR00764	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	lon_rel	putative ATP-dependent protease	equivalog	
TIGR00765	157	Unknown function	General	yihY_not_rbn	YihY family inner membrane protein	subfamily_domain	
TIGR00766	134	Transcription	Degradation of RNA	TIGR00766	inner membrane protein YhjD	equivalog	
TIGR00767	165	Transcription	Transcription factors	rho	transcription termination factor Rho	equivalog	3.6.4.-
TIGR00769	146	Transport and binding proteins	"Nucleosides, purines and pyrimidines"	AAA	ADP/ATP carrier protein family	superfamily	
TIGR00770	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	Dcu	"_transporter, anaerobic C4-dicarboxylate uptake (Dcu) family_"	subfamily	
TIGR00771	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	DcuC	"_transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family_"	subfamily	
TIGR00773	145	Transport and binding proteins	Cations and iron carrying compounds	NhaA	Na+/H+ antiporter NhaA	equivalog	
TIGR00774	145	Transport and binding proteins	Cations and iron carrying compounds	NhaB	Na+/H+ antiporter NhaB	equivalog	
TIGR00775	145	Transport and binding proteins	Cations and iron carrying compounds	NhaD	"_Na+/H+ antiporter, NhaD family_"	subfamily	
TIGR00776	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	RhaT	RhaT L-rhamnose-proton symporter family protein	superfamily	
TIGR00777	96	Cellular processes	Detoxification	ahpD	"_alkylhydroperoxidase, AhpD family_"	subfamily	1.11.1.15
TIGR00778	157	Unknown function	General	ahpD_dom	alkylhydroperoxidase AhpD family core domain	domain	
TIGR00779	142	Transport and binding proteins	"Amino acids, peptides and amines"	cad	cadmium resistance transporter family protein	subfamily	
TIGR00780	112	Energy metabolism	Electron transport	ccoN	"_cytochrome c oxidase, cbb3-type, subunit I_"	equivalog	1.9.3.1
TIGR00781	112	Energy metabolism	Electron transport	ccoO	"_cytochrome c oxidase, cbb3-type, subunit II_"	equivalog	1.9.3.1
TIGR00782	112	Energy metabolism	Electron transport	ccoP	"_cytochrome c oxidase, cbb3-type, subunit III_"	equivalog	1.9.3.1
TIGR00783	185	Unclassified	Role category not yet assigned	ccs	"_citrate carrier protein, CCS family_"	subfamily	
TIGR00784	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	citMHS	citrate transporter	subfamily	
TIGR00785	145	Transport and binding proteins	Cations and iron carrying compounds	dass	"_transporter, divalent anion:Na+ symporter (DASS) family_"	subfamily	
TIGR00786	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	dctM	"_TRAP transporter, DctM subunit_"	subfamily	
TIGR00787	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	dctP	"_TRAP transporter solute receptor, DctP family_"	subfamily	
TIGR00788	88	Cell envelope	Other	fbt	folate/biopterin transporter	subfamily	
TIGR00789	157	Unknown function	General	flhB_rel	FlhB domain protein	hypoth_equivalog_domain	
TIGR00790	143	Transport and binding proteins	Anions	fnt	formate/nitrite transporter	subfamily	
TIGR00791	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	gntP	"_transporter, gluconate:H+ symporter (GntP) family_"	subfamily	
TIGR00792	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	gph	sugar (Glycoside-Pentoside-Hexuronide) transporter	subfamily_domain	
TIGR00793	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	kdgT	2-keto-3-deoxygluconate transporter	equivalog	
TIGR00794	145	Transport and binding proteins	Cations and iron carrying compounds	kup	potassium uptake protein	equivalog	
TIGR00795	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	lctP	"_transporter, lactate permease (LctP) family_"	subfamily	
TIGR00796	142	Transport and binding proteins	"Amino acids, peptides and amines"	livcs	branched-chain amino acid transport system II carrier protein	equivalog	
TIGR00797	147	Transport and binding proteins	Other	matE	MATE efflux family protein	subfamily	
TIGR00798	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	mtc	tricarboxylate carrier	subfamily	
TIGR00799	141	Transport and binding proteins	Unknown substrate	mtp	Golgi 4-transmembrane spanning transporter	subfamily	
TIGR00800	146	Transport and binding proteins	"Nucleosides, purines and pyrimidines"	ncs1	NCS1 nucleoside transporter family	subfamily	
TIGR00801	146	Transport and binding proteins	"Nucleosides, purines and pyrimidines"	ncs2	uracil-xanthine permease	superfamily	
TIGR00802	145	Transport and binding proteins	Cations and iron carrying compounds	nico	"_transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family_"	subfamily	
TIGR00804	146	Transport and binding proteins	"Nucleosides, purines and pyrimidines"	nupC	"_nucleoside transporter, NupC family_"	subfamily	
TIGR00806	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	rfc	reduced folate carrier	equivalog	
TIGR00807	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	malonate_madL	"_malonate transporter, MadL subunit_"	equivalog	
TIGR00808	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	malonate_madM	"_malonate transporter, MadM subunit_"	equivalog	
TIGR00809	97	Protein fate	Protein and peptide secretion and trafficking	secB	protein-export chaperone SecB	equivalog	
TIGR00810	97	Protein fate	Protein and peptide secretion and trafficking	secG	"_preprotein translocase, SecG subunit_"	equivalog	
TIGR00811	147	Transport and binding proteins	Other	sit	silicon transporter	subfamily	
TIGR00813	145	Transport and binding proteins	Cations and iron carrying compounds	sss	"_transporter, solute:sodium symporter (SSS) family_"	superfamily	
